x,y
500000,2247
1000000,5038
1500000,7958
2000000,11130
2500000,14275
3000000,17853
3500000,21246
4000000,24865
4500000,28126
5000000,31921
5500000,34937
6000000,39098
6500000,43958
7000000,47153
7500000,51662
8000000,54883
8500000,59676
9000000,62215
9500000,66036
10000000,70072
10500000,73900
11000000,77755
11500000,83656
12000000,87000
12500000,92445
13000000,95826
13500000,99244
14000000,103481
14500000,108207
15000000,111714
15500000,116133
16000000,119517
16500000,123855
17000000,127495
17500000,132419
18000000,137236
18500000,141090
19000000,145594
19500000,149963
20000000,154263
20500000,158136
21000000,163865
21500000,169087
22000000,172439
22500000,178588
23000000,181944
23500000,186638
24000000,190528
24500000,193839
25000000,199097
